perturbation_id,uot,mass_pred,mass_true,mass_rel_error,is_control,n_init_atoms,n_term_atoms,n_term_atoms_eval
Ros1,454.0897216796875,434.0572204589844,937.0,0.5367585694141042,False,329,768,768
Rp1,448.4649963378906,289.4519348144531,855.0,0.6614597253632127,False,264,768,768
Runx1t1,432.9705505371094,331.59967041015625,966.0,0.6567291196582233,False,289,768,768
Ryr1,464.8056335449219,357.2272644042969,462.0,0.22678081297771238,False,237,462,462
Ryr2,433.72607421875,392.6849670410156,601.0,0.34661403154573106,False,278,601,601
Ryr3,448.88616943359375,436.6456604003906,900.0,0.5148381551106771,False,418,768,768
Scn9a,445.207275390625,407.74151611328125,682.0,0.40213853942334127,False,294,682,682
Shank2,436.94061279296875,397.8448486328125,1048.0,0.6203770528312857,False,318,768,768
Sis,450.90277099609375,329.6573486328125,421.0,0.21696591773678742,False,271,421,421
Slit2,461.5744323730469,283.97064208984375,454.0,0.3745140042073926,False,190,454,454
Spag17,460.3005065917969,381.5738830566406,878.0,0.5654056001632795,False,247,768,768
Sphkap,445.86395263671875,385.1538391113281,1311.0,0.7062137001439145,False,270,768,768
Spta1,440.78350830078125,383.2408752441406,726.0,0.47212000655077047,False,276,726,726
Tenm1,436.6940612792969,339.1641540527344,534.0,0.36486113473270715,False,235,534,534
Thsd7a,460.1753234863281,275.4982604980469,282.0,0.02305581383671321,False,197,282,282
Tnni3k,455.7726135253906,255.6947784423828,566.0,0.548242440914518,False,192,566,566
Tnxb,450.7205810546875,265.9205627441406,1190.0,0.7765373422318146,False,217,768,768
Tpcn2,477.88232421875,266.2680969238281,449.0,0.40697528524759885,False,190,449,449
Trp53,437.5038757324219,920.6719360351562,2581.0,0.6432886725938953,False,578,768,768
Unc13c,464.33795166015625,322.7848815917969,561.0,0.4246258795155136,False,250,561,561
Ush2a,469.7877502441406,323.99261474609375,683.0,0.5256330677216783,False,205,683,683
Vcan,456.41375732421875,511.6092834472656,1103.0,0.5361656541729233,False,352,768,768
Xirp2,460.73193359375,454.5498352050781,743.0,0.388223640370016,False,367,743,743
Zfhx4,450.08551025390625,446.3942565917969,700.0,0.36229391915457587,False,300,700,700
Zfp469,448.426513671875,399.7050476074219,451.0,0.11373603634717988,False,330,451,451
Zfp804b,434.0145263671875,340.65740966796875,707.0,0.5181649085318688,False,302,707,707
Zfp831,455.4969177246094,378.7349853515625,545.0,0.3050734213732798,False,273,545,545
Zmat3,447.27392578125,542.30078125,511.0,0.06125397504892368,False,386,511,511
ctrl,434.37872314453125,5841.23291015625,12981.0,0.5500167236610238,True,4422,768,768
