epoch,loss_total,loss_end,loss_weak,loss_count,loss_reg
38,20868.373046875,20868.23828125,0.0,0.0,0.13456378877162933
39,20546.916015625,20546.78125,0.0,0.0,0.13469909131526947
40,20333.0546875,20332.919921875,0.0,0.0,0.13482752442359924
41,20190.607421875,20190.47265625,0.0,0.0,0.13495862483978271
42,19956.73828125,19956.603515625,0.0,0.0,0.13509289920330048
43,19600.328125,19600.193359375,0.0,0.0,0.1352398544549942
44,19358.69921875,19358.564453125,0.0,0.0,0.13538047671318054
45,19427.521484375,19427.38671875,0.0,0.0,0.13552391529083252
46,19181.880859375,19181.74609375,0.0,0.0,0.13567805290222168
47,18921.73046875,18921.59375,0.0,0.0,0.13582845032215118
48,18848.189453125,18848.052734375,0.0,0.0,0.13598491251468658
49,18572.87109375,18572.734375,0.0,0.0,0.13614481687545776
50,18388.8203125,18388.68359375,0.0,0.0,0.136309415102005
51,18124.3984375,18124.26171875,0.0,0.0,0.1364728957414627
52,18038.70703125,18038.5703125,0.0,0.0,0.13663962483406067
53,17909.712890625,17909.576171875,0.0,0.0,0.1368085741996765
54,17871.93359375,17871.796875,0.0,0.0,0.1369737982749939
55,17686.525390625,17686.388671875,0.0,0.0,0.13714957237243652
56,17628.634765625,17628.498046875,0.0,0.0,0.13732105493545532
57,17485.2109375,17485.07421875,0.0,0.0,0.13749203085899353
58,17410.732421875,17410.595703125,0.0,0.0,0.13767150044441223
59,17206.94921875,17206.810546875,0.0,0.0,0.137849822640419
60,17146.408203125,17146.26953125,0.0,0.0,0.13803035020828247
61,17070.564453125,17070.42578125,0.0,0.0,0.13821427524089813
62,16968.578125,16968.439453125,0.0,0.0,0.13839711248874664
63,16746.41796875,16746.279296875,0.0,0.0,0.13858816027641296
64,16758.572265625,16758.43359375,0.0,0.0,0.13878527283668518
65,16563.41796875,16563.279296875,0.0,0.0,0.13898222148418427
66,16518.126953125,16517.98828125,0.0,0.0,0.13918434083461761
67,16621.529296875,16621.390625,0.0,0.0,0.1393883228302002
68,16537.259765625,16537.12109375,0.0,0.0,0.13959597051143646
69,16430.607421875,16430.466796875,0.0,0.0,0.13980717957019806
70,16307.5859375,16307.4462890625,0.0,0.0,0.14002428948879242
71,16231.83984375,16231.69921875,0.0,0.0,0.1402427703142166
72,16283.927734375,16283.787109375,0.0,0.0,0.140457421541214
73,16206.1201171875,16205.9794921875,0.0,0.0,0.14067472517490387
74,16125.509765625,16125.369140625,0.0,0.0,0.1409004181623459
75,16105.4677734375,16105.326171875,0.0,0.0,0.14111949503421783
76,16084.943359375,16084.8017578125,0.0,0.0,0.14134371280670166
77,15950.67578125,15950.5341796875,0.0,0.0,0.14156965911388397
78,15998.69140625,15998.5498046875,0.0,0.0,0.14179441332817078
79,15865.8173828125,15865.67578125,0.0,0.0,0.14201579988002777
80,16003.666015625,16003.5234375,0.0,0.0,0.14224255084991455
81,15830.96484375,15830.822265625,0.0,0.0,0.14247022569179535
82,15666.1416015625,15665.9990234375,0.0,0.0,0.14270702004432678
83,15584.9638671875,15584.8212890625,0.0,0.0,0.14293894171714783
84,15609.9658203125,15609.822265625,0.0,0.0,0.14317460358142853
85,15529.578125,15529.4345703125,0.0,0.0,0.14341522753238678
86,15335.7685546875,15335.625,0.0,0.0,0.14365561306476593
87,15412.07421875,15411.9306640625,0.0,0.0,0.1438848227262497
88,15283.1748046875,15283.0302734375,0.0,0.0,0.14411862194538116
89,15395.0380859375,15394.8935546875,0.0,0.0,0.14435216784477234
90,15215.8740234375,15215.7294921875,0.0,0.0,0.14458999037742615
91,15300.109375,15299.96484375,0.0,0.0,0.14483076333999634
92,15226.0673828125,15225.921875,0.0,0.0,0.14507149159908295
93,15142.0009765625,15141.85546875,0.0,0.0,0.1453142613172531
94,15116.0693359375,15115.923828125,0.0,0.0,0.14555656909942627
95,14907.4384765625,14907.29296875,0.0,0.0,0.14580492675304413
