perturbation_id,time_label,n_cells,pooled_mass,is_control
Vps13b,P4,251,251.0,False
Vps13b,P60,1472,1472.0,False
Xirp2,P4,367,367.0,False
Xirp2,P60,743,743.0,False
Zfhx4,P4,300,300.0,False
Zfhx4,P60,700,700.0,False
Zfp469,P4,330,330.0,False
Zfp469,P60,451,451.0,False
Zfp78,P4,220,220.0,False
Zfp78,P60,851,851.0,False
Zfp804b,P4,302,302.0,False
Zfp804b,P60,707,707.0,False
Zfp831,P4,273,273.0,False
Zfp831,P60,545,545.0,False
Zmat3,P4,386,386.0,False
Zmat3,P60,511,511.0,False
ctrl,P4,4422,4422.0,True
ctrl,P60,12981,12981.0,True
