epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,step,total_epochs,velo_f_2.0_training,velo_f_2.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation
7,,,9.999999747378752e-05,0.0,,81.31329345703125,,165.12525939941406,,35,7.0,0.2943199574947357,,0.3281008005142212,,0.3289394974708557,,0.8229871988296509,,0.7053705453872681,,0.6938778162002563,,458.9774475097656,,414.0627746582031,,410.4434509277344,
7,,,9.999999747378752e-05,0.0,,73.09927368164062,,163.23858642578125,,36,7.0,0.3016377985477447,,0.3378226459026336,,0.3392586708068847,,0.8084598183631897,,0.6923282146453857,,0.6863043308258057,,452.36962890625,,404.8338928222656,,402.2724609375,
7,,,9.999999747378752e-05,0.0,,75.7933120727539,,170.996826171875,,37,7.0,0.3070253431797027,,0.348027229309082,,0.3487865030765533,,0.792538046836853,,0.6720209717750549,,0.6684474945068359,,446.3099365234375,,392.8793640136719,,391.33306884765625,
7,,,9.999999747378752e-05,0.0,,72.61116027832031,,170.91436767578125,,38,7.0,0.3156050145626068,,0.3567965924739837,,0.3591999411582947,,0.7967043519020081,,0.6731409430503845,,0.6684328317642212,,442.62347412109375,,388.0713195800781,,385.1891784667969,
7,,,9.999999747378752e-05,0.0,,83.3846206665039,,178.24038696289062,,39,7.0,0.3183563947677612,,0.3662251234054565,,0.36929652094841,,0.7855724096298218,,0.6547732949256897,,0.654221773147583,,438.7960510253906,,376.6254577636719,,374.6229248046875,
7,,263.8897399902344,9.999999747378752e-05,,0.0,,81.27558135986328,,182.6141662597656,39,7.0,,0.3263396024703979,,0.3743619322776794,,0.3786576986312866,,0.7285135984420776,,0.6146796941757202,,0.5972328782081604,,421.08978271484375,,357.5745849609375,,348.1880798339844
7,246.9434051513672,,,,,,,,,39,,,,,,,,,,,,,,,,,,,
8,,,9.999999747378752e-05,0.0,,73.09825134277344,,176.36582946777344,,40,8.0,0.3246253132820129,,0.3762867152690887,,0.3798787295818329,,0.7730764150619507,,0.6533056497573853,,0.6514843702316284,,432.6759948730469,,370.1877746582031,,367.4516296386719,
8,,,9.999999747378752e-05,0.0,,80.30896759033203,,184.5290069580078,,41,8.0,0.3319530487060547,,0.3845385313034057,,0.388852596282959,,0.7818810939788818,,0.6588176488876343,,0.648428738117218,,430.7463684082031,,367.2283325195313,,361.1199035644531,
8,,,9.999999747378752e-05,0.0,,81.08480072021484,,197.78439331054688,,42,8.0,0.3396667242050171,,0.3957398533821106,,0.3987118005752563,,0.7765094041824341,,0.65297532081604,,0.6556156277656555,,425.4204406738281,,358.70220947265625,,357.9101257324219,
8,,,9.999999747378752e-05,0.0,,85.07542419433594,,192.091552734375,,43,8.0,0.3438141644001007,,0.4052251875400543,,0.4082247316837311,,0.7744607925415039,,0.6537809371948242,,0.649202823638916,,422.73822021484375,,353.5084533691406,,350.135498046875,
8,,,9.999999747378752e-05,0.0,,80.873779296875,,194.85044860839844,,44,8.0,0.3518304526805877,,0.4141993522644043,,0.418669044971466,,0.7440539598464966,,0.6212549805641174,,0.6201093196868896,,410.9312438964844,,336.0937805175781,,333.0064392089844,
8,,295.5365600585937,0.0001000000047497,,0.0,,88.63133239746094,,206.90521240234372,44,8.0,,0.3591732978820801,,0.4228389859199524,,0.4257632791996002,,0.6744617223739624,,0.572401225566864,,0.5589326620101929,,387.0925598144531,,310.2139587402344,,302.1535949707031
8,269.2124938964844,,,,,,,,,44,,,,,,,,,,,,,,,,,,,
9,,,9.999999747378752e-05,0.0,,82.68694305419922,,194.8893280029297,,45,9.0,0.3556201756000519,,0.4231122434139251,,0.4269609153270721,,0.7590688467025757,,0.6330486536026001,,0.6277885437011719,,412.7011413574219,,335.4859619140625,,331.2024841308594,
9,,,9.999999747378752e-05,0.0,,82.10421752929688,,206.50440979003903,,46,9.0,0.3638206720352173,,0.4337339401245117,,0.4368343949317932,,0.7404520511627197,,0.6232564449310303,,0.6202161312103271,,403.46771240234375,,325.4720153808594,,322.4444580078125,
9,,,9.999999747378752e-05,0.0,,82.99220275878906,,211.85760498046875,,47,9.0,0.365037053823471,,0.441190242767334,,0.4464289844036102,,0.7369301915168762,,0.6149720549583435,,0.6166733503341675,,401.8628540039063,,317.7608947753906,,315.44207763671875,
9,,,9.999999747378752e-05,0.0,,88.96826171875,,214.35836791992188,,48,9.0,0.3752710521221161,,0.4508820474147796,,0.4549824893474579,,0.7385386228561401,,0.6173675060272217,,0.613447368144989,,396.7560119628906,,313.1731872558594,,309.16845703125,
9,,,9.999999747378752e-05,0.0,,101.34456634521484,,227.2076416015625,,49,9.0,0.3809369802474975,,0.4585744440555572,,0.462869644165039,,0.7460676431655884,,0.6366432905197144,,0.624591052532196,,395.7740173339844,,316.7330627441406,,309.3812561035156,
9,,334.3431091308594,9.999999747378752e-05,,0.0,,94.7118682861328,,239.63124084472656,49,9.0,,0.3909082114696502,,0.4691273272037506,,0.470384269952774,,0.6557255387306213,,0.5601708889007568,,0.5440787672996521,,362.4659423828125,,276.4000244140625,,267.4690856933594
9,298.58270263671875,,,,,,,,,49,,,,,,,,,,,,,,,,,,,
10,,,9.999999747378752e-05,0.0,,86.32667541503906,,225.6551513671875,,50,10.0,0.3861710727214813,,0.4683194756507873,,0.4714009761810303,,0.7265898585319519,,0.6077502965927124,,0.6030229330062866,,387.5054321289063,,299.0897827148437,,295.24530029296875,
10,,,9.999999747378752e-05,0.0,,84.52493286132812,,232.70989990234372,,51,10.0,0.3921728432178497,,0.4763811230659485,,0.4804743826389313,,0.7186660170555115,,0.6011059284210205,,0.5981286764144897,,381.93060302734375,,291.552978515625,,287.88043212890625,
10,,,9.999999747378752e-05,0.0,,87.81292724609375,,233.70318603515625,,52,10.0,0.3971254825592041,,0.4857023358345032,,0.4876905977725982,,0.7074196934700012,,0.5909865498542786,,0.588172197341919,,375.8279418945313,,281.61871337890625,,279.1696472167969,
10,,,9.999999747378752e-05,0.0,,87.17594909667969,,232.48757934570312,,53,10.0,0.4009483456611633,,0.4938383102416992,,0.4964690208435058,,0.7012502551078796,,0.5850963592529297,,0.5818623304367065,,371.8101501464844,,274.2240295410156,,271.1813659667969,
10,,,9.999999747378752e-05,0.0,,91.93758392333984,,243.6042022705078,,54,10.0,0.4040117859840393,,0.5020861625671387,,0.5044221878051758,,0.7052905559539795,,0.5940571427345276,,0.5923777222633362,,371.3983459472656,,273.8424072265625,,271.7481994628906,
10,,342.9598693847656,9.999999747378752e-05,,0.0,,95.19915771484376,,247.76071166992188,54,10.0,,0.4190893173217773,,0.5061840415000916,,0.510870635509491,,0.6304130554199219,,0.5386090278625488,,0.5208634734153748,,336.8013000488281,,243.4228363037109,,230.79232788085935
10,321.1875915527344,,,,,,,,,54,,,,,,,,,,,,,,,,,,,
11,,,9.999999747378752e-05,0.0,,89.99553680419922,,247.31961059570312,,55,11.0,0.4113065898418426,,0.5083536505699158,,0.512599766254425,,0.7078877687454224,,0.5891168117523193,,0.5868521928787231,,368.24322509765625,,268.0069885253906,,264.55889892578125,
11,,,9.999999747378752e-05,0.0,,93.13926696777344,,251.40261840820312,,56,11.0,0.4200439453125,,0.5174857378005981,,0.5192732214927673,,0.6927323341369629,,0.5803682208061218,,0.5744245052337646,,358.587890625,,258.6787414550781,,254.7252349853516,
11,,,9.999999747378752e-05,0.0,,96.82321166992188,,257.6991882324219,,57,11.0,0.4202035963535309,,0.5257276296615601,,0.5271207094192505,,0.6871577501296997,,0.5764738321304321,,0.5696970224380493,,356.6395874023437,,252.1835021972656,,247.97900390625,
11,,,9.999999747378752e-05,0.0,,87.26957702636719,,259.29718017578125,,58,11.0,0.4305161535739898,,0.5324824452400208,,0.5340262651443481,,0.6816449165344238,,0.5684280395507812,,0.565029501914978,,349.0977783203125,,244.37094116210935,,241.7621154785156,
11,,,9.999999747378752e-05,0.0,,96.80564880371094,,259.8049011230469,,59,11.0,0.4315229952335357,,0.5417592525482178,,0.5414170026779175,,0.6830607652664185,,0.574643075466156,,0.5689014196395874,,349.0361633300781,,242.4948883056641,,239.72683715820312,
11,,419.0169372558594,9.999999747378752e-05,,0.0,,123.21054077148438,,295.806396484375,59,11.0,,0.437249481678009,,0.5449455976486206,,0.5465823411941528,,0.6327993869781494,,0.5423694252967834,,0.5201560258865356,,327.25665283203125,,223.5772857666016,,210.0167236328125
11,347.9113464355469,,,,,,,,,59,,,,,,,,,,,,,,,,,,,
12,,,9.999999747378752e-05,0.0,,91.9470672607422,,261.6481628417969,,60,12.0,0.4409425258636474,,0.5459516048431396,,0.5473035573959351,,0.6731126308441162,,0.5611165761947632,,0.5577051639556885,,340.373046875,,233.18096923828125,,230.6300201416016,
12,,,9.999999747378752e-05,0.0,,95.2451171875,,273.2494506835937,,61,12.0,0.4449515342712402,,0.5532933473587036,,0.5542711615562439,,0.6670887470245361,,0.5543012619018555,,0.5511578321456909,,335.9870300292969,,225.5458526611328,,223.30856323242188,
